age,gender,Label
55.4,0.0,1.0
22.9,0.0,1.0
39.2,0.0,1.0
22.8,0.0,1.0
34.6,1.0,1.0
37.7,0.0,1.0
20.2,1.0,1.0
20.2,1.0,1.0
20.9,0.0,1.0
20.2,0.0,1.0
27.6,0.0,1.0
23.4,0.0,1.0
20.1,0.0,1.0
45.1,0.0,1.0
29.1,0.0,1.0
22.4,1.0,1.0
17.5,0.0,1.0
21.2,0.0,1.0
20.9,0.0,1.0
44.2,0.0,0.0
39.3,0.0,0.0
42.5,0.0,0.0
19.7,0.0,0.0
20.0,1.0,0.0
20.8,1.0,0.0
27.9,0.0,0.0
21.1,1.0,0.0
20.9,0.0,0.0
23.6,0.0,0.0
23.9,0.0,0.0
22.0,0.0,0.0
17.0,0.0,0.0
23.3,0.0,0.0
34.1,0.0,0.0
44.1,0.0,0.0
56.2,0.0,0.0
18.7,0.0,0.0
29.2,1.0,0.0
33.0,0.0,1.0
21.0,0.0,1.0
27.0,0.0,1.0
22.0,0.0,1.0
30.0,0.0,1.0
24.0,0.0,1.0
28.0,1.0,0.0
27.0,0.0,0.0
25.0,0.0,0.0
21.0,0.0,0.0
21.0,0.0,0.0
33.0,0.0,0.0
31.0,0.0,0.0
25.0,0.0,0.0
21.0,0.0,1.0
19.0,1.0,1.0
20.0,0.0,1.0
31.0,1.0,1.0
31.0,1.0,1.0
39.0,0.0,1.0
24.0,0.0,1.0
27.0,0.0,1.0
21.0,0.0,0.0
27.0,0.0,0.0
20.0,1.0,0.0
40.0,0.0,0.0
30.0,1.0,0.0
12.77,0.0,0.0
10.84,0.0,0.0
10.64,0.0,0.0
11.0,0.0,0.0
9.3,0.0,0.0
8.39,0.0,0.0
9.73,1.0,0.0
9.41,0.0,0.0
9.82,1.0,0.0
9.3,0.0,0.0
10.18,0.0,0.0
10.4,1.0,0.0
8.07,1.0,0.0
10.37,0.0,0.0
8.75,0.0,0.0
10.82,0.0,0.0
10.25,1.0,0.0
9.31,0.0,0.0
8.83,1.0,0.0
10.18,0.0,1.0
8.2,1.0,1.0
8.4,0.0,1.0
9.66,0.0,1.0
8.09,1.0,1.0
11.99,1.0,1.0
12.54,0.0,1.0
10.17,1.0,1.0
11.14,0.0,1.0
11.76,0.0,1.0
11.27,0.0,1.0
8.2,0.0,1.0
8.45,0.0,1.0
8.33,0.0,1.0
11.33,0.0,1.0
8.48,0.0,1.0
10.65,0.0,1.0
11.09,0.0,0.0
8.43,0.0,0.0
11.85,1.0,0.0
12.76,0.0,0.0
9.97,1.0,0.0
10.79,0.0,0.0
8.46,0.0,0.0
10.62,0.0,1.0
9.73,0.0,0.0
9.97,0.0,0.0
11.79,0.0,0.0
9.71,0.0,0.0
8.87,1.0,0.0
11.17,0.0,0.0
12.43,0.0,0.0
11.37,0.0,1.0
10.29,0.0,1.0
8.5,0.0,1.0
10.57,0.0,1.0
23.0,0.0,0.0
24.0,0.0,0.0
23.0,0.0,0.0
19.0,0.0,1.0
22.0,0.0,0.0
21.0,0.0,0.0
21.0,0.0,1.0
22.0,0.0,1.0
22.0,0.0,0.0
22.0,0.0,0.0
22.0,0.0,1.0
19.0,0.0,1.0
19.0,0.0,1.0
20.0,0.0,1.0
19.0,0.0,1.0
28.0,0.0,0.0
21.0,0.0,0.0
23.0,0.0,1.0
18.0,0.0,0.0
18.0,0.0,1.0
29.0,0.0,0.0
29.0,0.0,1.0
24.0,0.0,1.0
22.0,0.0,0.0
22.0,0.0,0.0
32.0,0.0,1.0
25.0,0.0,0.0
27.0,0.0,0.0
19.0,0.0,1.0
13.8,1.0,0.0
13.8,1.0,0.0
15.1,0.0,0.0
14.2,0.0,0.0
16.6,0.0,0.0
13.9,0.0,0.0
15.6,0.0,0.0
12.3,1.0,0.0
16.2,0.0,0.0
12.4,0.0,0.0
14.7,0.0,0.0
16.6,0.0,0.0
14.3,1.0,0.0
13.6,1.0,0.0
12.2,0.0,0.0
12.8,0.0,0.0
15.2,0.0,0.0
12.4,0.0,0.0
14.2,0.0,0.0
16.9,0.0,0.0
14.2,1.0,1.0
12.5,1.0,1.0
13.0,0.0,1.0
13.8,0.0,1.0
14.2,0.0,1.0
14.2,0.0,1.0
15.3,1.0,1.0
16.8,0.0,1.0
12.1,0.0,1.0
14.7,0.0,1.0
14.3,0.0,1.0
12.3,0.0,1.0
12.2,0.0,1.0
14.9,0.0,1.0
14.3,0.0,1.0
19.0,0.0,1.0
33.0,0.0,1.0
31.0,0.0,1.0
45.0,1.0,1.0
33.0,0.0,0.0
32.0,0.0,0.0
26.0,0.0,0.0
23.0,0.0,0.0
32.0,1.0,0.0
21.0,0.0,0.0
28.0,1.0,0.0
32.0,0.0,0.0
32.0,1.0,0.0
48.0,0.0,0.0
46.0,1.0,0.0
46.0,0.0,0.0
29.0,1.0,1.0
26.0,0.0,1.0
29.0,0.0,1.0
30.0,0.0,1.0
52.0,0.0,1.0
32.0,1.0,1.0
42.0,0.0,1.0
58.0,0.0,1.0
22.0,0.0,1.0
23.0,0.0,0.0
24.0,0.0,0.0
27.0,0.0,0.0
23.0,0.0,0.0
26.0,0.0,0.0
30.0,0.0,0.0
29.0,0.0,0.0
29.0,0.0,0.0
29.0,0.0,0.0
23.0,0.0,0.0
30.0,0.0,0.0
22.0,0.0,0.0
35.0,0.0,0.0
25.0,0.0,0.0
24.0,0.0,0.0
8.0,0.0,1.0
18.0,0.0,1.0
45.0,0.0,1.0
35.0,0.0,1.0
11.0,0.0,1.0
11.0,0.0,1.0
11.0,0.0,1.0
9.0,0.0,1.0
7.0,0.0,1.0
12.0,0.0,1.0
11.0,0.0,1.0
10.0,0.0,0.0
11.0,0.0,0.0
10.0,0.0,0.0
13.0,0.0,0.0
7.0,0.0,0.0
16.0,0.0,0.0
8.74,1.0,1.0
11.764,1.0,1.0
14.75,1.0,1.0
12.64,1.0,1.0
14.06,1.0,1.0
14.75,1.0,1.0
10.23,1.0,1.0
22.81,1.0,1.0
38.76,1.0,1.0
25.02,1.0,1.0
24.41,1.0,1.0
12.75,0.0,1.0
9.25,0.0,1.0
15.14,0.0,1.0
9.74,0.0,1.0
9.95,0.0,1.0
7.61,0.0,1.0
8.9,0.0,1.0
10.24,0.0,1.0
13.95,0.0,1.0
17.88,0.0,1.0
11.56,0.0,1.0
10.96,0.0,1.0
14.65,0.0,1.0
7.13,0.0,1.0
9.58,0.0,1.0
9.37,0.0,1.0
8.52,0.0,1.0
12.96,0.0,1.0
9.46,0.0,1.0
10.48,0.0,1.0
13.2,0.0,1.0
13.09,0.0,1.0
8.53,0.0,1.0
8.56,0.0,1.0
14.21,0.0,1.0
9.78,0.0,1.0
13.71,0.0,1.0
10.9,0.0,1.0
10.66,0.0,1.0
10.87,0.0,1.0
15.66,0.0,1.0
16.74,0.0,1.0
15.81,0.0,1.0
16.27,0.0,1.0
13.04,0.0,1.0
14.53,0.0,1.0
13.33,0.0,1.0
10.71,0.0,1.0
7.228,0.0,1.0
8.51,0.0,1.0
11.11,0.0,1.0
11.92,0.0,1.0
12.37,0.0,1.0
11.03,0.0,1.0
8.53,0.0,1.0
8.79,0.0,1.0
9.79,0.0,1.0
7.15,0.0,1.0
11.005,0.0,1.0
29.98,0.0,1.0
22.99,0.0,1.0
22.04,0.0,1.0
20.25,0.0,1.0
22.29,0.0,1.0
28.58,0.0,1.0
23.66,0.0,1.0
20.62,0.0,1.0
39.1,0.0,1.0
19.64,0.0,1.0
18.58,0.0,1.0
22.98,0.0,1.0
29.18,0.0,1.0
26.516,0.0,1.0
7.29,0.0,1.0
7.15,0.0,1.0
9.98,0.0,1.0
10.65,0.0,1.0
10.27,0.0,1.0
8.04,1.0,0.0
8.26,1.0,0.0
8.5,1.0,0.0
8.52,1.0,0.0
8.9,1.0,0.0
8.91,1.0,0.0
10.86,1.0,0.0
11.56,1.0,0.0
11.56,1.0,0.0
12.1,1.0,0.0
12.44,1.0,0.0
13.22,1.0,0.0
13.25,1.0,0.0
14.06,1.0,0.0
14.18,1.0,0.0
14.38,1.0,0.0
14.42,1.0,0.0
15.95,1.0,0.0
17.31,1.0,0.0
21.58,1.0,0.0
22.11,1.0,0.0
22.76,1.0,0.0
22.74,1.0,0.0
27.03,1.0,0.0
27.76,1.0,0.0
29.13,1.0,0.0
7.26,0.0,0.0
10.52,0.0,0.0
18.59,0.0,0.0
23.65,0.0,0.0
31.78,0.0,0.0
8.15,0.0,0.0
7.29,0.0,0.0
10.69,0.0,0.0
11.91,0.0,0.0
12.49,0.0,0.0
12.81,0.0,0.0
14.2,0.0,0.0
16.93,0.0,0.0
17.3,0.0,0.0
6.47,0.0,0.0
7.19,0.0,0.0
8.01,0.0,0.0
8.82,0.0,0.0
8.88,0.0,0.0
8.93,0.0,0.0
9.23,0.0,0.0
9.81,0.0,0.0
10.46,0.0,0.0
10.52,0.0,0.0
10.73,0.0,0.0
